workerId,category,pair,count,eventCat,event
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,1,1.0,contact,kissing
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,38,10.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,33,4.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,23,20.0,kindness,supporting
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,21,3.0,kindness,helping
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,14,1.0,utterance,addressing
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,30,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,3,1.0,contact,hugging
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,2,3.0,contact,kicking
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,17,10.0,kindness,assisting
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,28,2.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,33,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,16,1.0,kindness,approving
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,25,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,7,3.0,contact,shaking
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,19,1.0,kindness,encouraging
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,34,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,6,1.0,contact,poking
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,36,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,27,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,25,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,39,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,32,4.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,29,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,31,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,28,2.0,filler,filler
